Brand,Description,Price,Rating
AMD,AMD Radeon Vega Frontier Edition 100-506061 16GB 2048-bit HBM2 Video Cards - Workstation,£712.99, 61 
ZOTAC,ZOTAC GeForce GTX 1060 AMP!  ZT-P10600B-10M  6GB GDDR5 Super Compact Dual-Fan IceStorm Cooling FREEZE Fan Stop,£265.99, 56 
ZOTAC,ZOTAC GeForce GTX 1050 Ti DirectX 12 ZT-P10510A-10L Video Card,£173.99, 52 
ZOTAC,ZOTAC GeForce GTX 1060 Mini  ZT-P10610A-10L  3GB GDDR5 Super Compact,£216.99, 23 
PNY Technologies  Inc.,PNY GeForce GTX 1050 Ti DirectX 12 VCGGTX1050T4PB Video Card,£171.99, 3 
PowerColor,PowerColor DEVIL BOX Thunderbolt 3 eGFX Enclousure,£177.99, 11 
EVGA,EVGA GeForce GTX 1050 Ti SC GAMING  04G-P4-6253-KR  4GB GDDR5  DX12 OSD Support (PXOC),£179.99, 95 
EVGA,EVGA GeForce GTX 1050 SC GAMING  02G-P4-6152-KR  2GB GDDR5  DX12 OSD Support (PXOC),£130.99, 23 
PowerColor,PowerColor Red Dragon Radeon RX 560 14CU DirectX 12 AXRX 560 4GBD5-DHA 4GB 128-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card,£143.00, 21 
ZOTAC,ZOTAC GeForce GTX 1080 Ti AMP Extreme Core 11GB GDDR5X 352-bit Gaming Graphics Card VR Ready 16+2 Power Phase Freeze Fan Stop IceStorm Cooling Spectra Lighting ZT-P10810F-10P,£655.99, 21 
ASUS,ASUS ROG Strix Radeon RX 570 O4G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX570-O4G-GAMING),£311.99, 20 
AMD,AMD Radeon Pro WX 3100 100-505999 PCI-Express x16 (x8 Electrical) Half Height Workstation Video Card,£122.99, 1 
PNY Technologies  Inc.,PNY Quadro K1200 VCQK1200DP-PB 4GB 128-bit GDDR5 PCI Express 2.0 ATX or SFF Workstation Video Card for DisplayPort,£223.99, 5 
